,station_id,bikes_available,docks_available,time,TimeStamp,Hour_Min
35499367,90,0,0,8/24/2016 12:30:01,16-08-24,12:30
35499379,90,13,18,8/24/2016 12:45:01,16-08-24,12:45
35499380,90,13,18,8/24/2016 12:45:55,16-08-24,12:45
35499390,90,13,18,8/24/2016 13:00:01,16-08-24,13:00
35499404,90,13,18,8/24/2016 13:15:53,16-08-24,13:15
35499416,90,13,18,8/24/2016 13:30:46,16-08-24,13:30
35499439,90,13,18,8/24/2016 14:00:51,16-08-24,14:00
35499451,90,13,18,8/24/2016 14:15:01,16-08-24,14:15
35499465,90,13,18,8/24/2016 14:30:52,16-08-24,14:30
35499476,90,13,18,8/24/2016 14:45:54,16-08-24,14:45
35499487,90,13,18,8/24/2016 15:00:00,16-08-24,15:00
35499488,90,13,18,8/24/2016 15:00:55,16-08-24,15:00
35499524,90,13,18,8/24/2016 15:45:57,16-08-24,15:45
35499538,90,13,18,8/24/2016 16:00:40,16-08-24,16:00
35499551,90,13,18,8/24/2016 16:15:01,16-08-24,16:15
35499552,90,13,18,8/24/2016 16:15:59,16-08-24,16:15
35499587,90,21,10,8/24/2016 17:00:00,16-08-24,17:00
35499598,90,21,10,8/24/2016 17:15:56,16-08-24,17:15
35499623,90,23,8,8/24/2016 17:45:56,16-08-24,17:45
35499637,90,23,8,8/24/2016 18:00:56,16-08-24,18:00
35499661,90,23,8,8/24/2016 18:30:46,16-08-24,18:30
35499697,90,21,10,8/24/2016 19:15:01,16-08-24,19:15
35499707,90,21,10,8/24/2016 19:30:01,16-08-24,19:30
35499708,90,21,10,8/24/2016 19:30:56,16-08-24,19:30
35499722,90,21,10,8/24/2016 19:45:55,16-08-24,19:45
35499745,90,21,10,8/24/2016 20:15:55,16-08-24,20:15
35499757,90,21,10,8/24/2016 20:30:01,16-08-24,20:30
35499768,90,21,10,8/24/2016 20:45:00,16-08-24,20:45
35499779,90,21,10,8/24/2016 21:00:50,16-08-24,21:00
35499793,90,21,10,8/24/2016 21:15:58,16-08-24,21:15
35499816,90,21,10,8/24/2016 21:45:00,16-08-24,21:45
35499817,90,21,10,8/24/2016 21:45:52,16-08-24,21:45
35499830,90,21,10,8/24/2016 22:00:01,16-08-24,22:00
35499831,90,21,10,8/24/2016 22:00:56,16-08-24,22:00
35499844,90,21,10,8/24/2016 22:15:45,16-08-24,22:15
35499856,90,21,10,8/24/2016 22:30:01,16-08-24,22:30
35499857,90,21,10,8/24/2016 22:30:56,16-08-24,22:30
35499870,90,21,10,8/24/2016 22:45:44,16-08-24,22:45
35499894,90,21,10,8/24/2016 23:15:55,16-08-24,23:15
35499908,90,21,10,8/24/2016 23:30:56,16-08-24,23:30
35499921,90,21,10,8/24/2016 23:45:52,16-08-24,23:45
35499934,90,21,10,8/25/2016 00:00:56,16-08-25,00:00
